"","X","CITY","STABBR","INSTNM","MAIN","INSTURL","PREDDEG","CONTROL","UGDS","ADM_RATE","SAT_AVG","ACTCMMID","TUITIONFEE_IN","TUITIONFEE_OUT","C150_4","LONGITUDE","LATITUDE"
"1501",1501,"Riverdale","NY","Manhattan College",1,"www.manhattan.edu",3,2,3471,0.6654,1097,25,37188,37188,0.7507,-73.901893,40.889756
"1502",1502,"New York","NY","Manhattan School of Music",1,"www.msmnyc.edu",3,2,389,0.4482,1061.44920634921,23.2588331963846,37750,37750,0.7184,-73.961691,40.812341
"1503",1503,"Purchase","NY","Manhattanville College",1,"www.manhattanville.edu",3,2,1754,0.7386,1061.44920634921,23.2588331963846,36220,36220,0.6071,-73.718316,41.031054
"1504",1504,"Albany","NY","Maria College of Albany",1,"www.mariacollege.edu",2,2,849,0.35,1061.44920634921,23.2588331963846,12050,12050,0.2143,-73.805986,42.656506
"1505",1505,"Poughkeepsie","NY","Marist College",1,"www.Marist.edu",3,2,5240,0.3851,1061.44920634921,23.2588331963846,32590,32590,0.7819,-73.934342,41.721955
"1506",1506,"New York","NY","Marymount Manhattan College",1,"www.mmm.edu",3,2,1831,0.735,1065,24,27636,27636,0.4393,-73.959676,40.769108
"1507",1507,"Buffalo","NY","Medaille College",1,"www.medaille.edu",3,2,1914,0.619,840,23.2588331963846,25002,25002,0.4436,-78.856569,42.92895
"1508",1508,"Albany","NY","Memorial College of Nursing",1,"www.nehealth.com",2,2,131,1,1061.44920634921,23.2588331963846,10575,10575,0.510104098765432,-73.750114,42.673642
"1509",1509,"Dobbs Ferry","NY","Mercy College",1,"www.mercy.edu",3,2,6402,0.7189,1061.44920634921,23.2588331963846,17766,17766,0.288,-73.874571,41.021436
"1510",1510,"Brooklyn","NY","Mesivta Torah Vodaath Rabbinical Seminary",1,"independentrabbinicalcolleges.org/index.html",3,2,276,0.7,1061.44920634921,23.2588331963846,11010,11010,0.32,-73.969494,40.638251
"1511",1511,"Brooklyn","NY","Mesivta of Eastern Parkway-Yeshiva Zichron Meilech",1,"NULL",3,2,33,1,1061.44920634921,23.2588331963846,8600,8600,0.0667,-73.979166,40.635169
"1512",1512,"New York","NY","Mesivtha Tifereth Jerusalem of America",1,"NULL",3,2,46,0.931,1061.44920634921,23.2588331963846,9750,9750,0.1923,-73.991271,40.713812
"1513",1513,"Albany","NY","Mildred Elley School-Albany Campus",1,"www.mildred-elley.edu",2,3,603,1,1061.44920634921,23.2588331963846,11205,11205,0.510104098765432,-73.790212,42.68026
"1514",1514,"Brooklyn","NY","Mirrer Yeshiva Cent Institute",1,"NULL",3,2,132,0.9556,1061.44920634921,23.2588331963846,6100,6100,0.0714,-73.966049,40.605043
"1515",1515,"Utica","NY","Mohawk Valley Community College",1,"www.mvcc.edu",2,1,5153,1,1061.44920634921,23.2588331963846,4415,8225,0.510104098765432,-75.217197,43.077384
"1516",1516,"Rockville Centre","NY","Molloy College",1,"www.molloy.edu",3,2,3293,0.754,1072,24,26850,26850,0.6972,-73.626278,40.68597
"1517",1517,"Bronx","NY","Monroe College",1,"www.monroecollege.edu",2,3,6181,0.4027,1061.44920634921,23.2588331963846,13740,13740,0.526,-73.900501,40.86407
"1518",1518,"Rochester","NY","Monroe Community College",1,"www.monroecc.edu/",2,1,13982,1,1061.44920634921,23.2588331963846,4150,7566,0.510104098765432,-77.608488,43.101265
"1519",1519,"Newburgh","NY","Mount Saint Mary College",1,"www.msmc.edu",3,2,2096,0.8862,1011,22,27312,27312,0.588,-74.012906,41.511212
"1520",1520,"Bronx","NY","College of Mount Saint Vincent",1,"www.mountsaintvincent.edu",3,2,1671,0.9521,931,21,31290,31290,0.5668,-73.907019,40.912814
"1521",1521,"Garden City","NY","Nassau Community College",1,"www.ncc.edu/",2,1,20218,1,1061.44920634921,23.2588331963846,4739,8973,0.510104098765432,-73.589397,40.730088
"1522",1522,"Rochester","NY","Nazareth College",1,"www.naz.edu",3,2,2017,0.7049,1061.44920634921,23.2588331963846,30762,30762,0.7558,-77.514417,43.102406
"1523",1523,"New Rochelle","NY","The College of New Rochelle",1,"www.cnr.edu",3,2,3075,0.3853,958,21,32300,32300,0.2897,-73.781104,40.899427
"1524",1524,"New York","NY","The New School",1,"www.newschool.edu/",3,2,6695,0.659,1117,25,41870,41870,0.6021,-73.994636,40.735275
"1525",1525,"New York","NY","New York University",1,"www.nyu.edu",3,2,24539,0.3545,1344,30,46170,46170,0.8301,-73.997264,40.729452
"1526",1526,"Sanborn","NY","Niagara County Community College",1,"www.niagaracc.suny.edu",2,1,5118,1,1061.44920634921,23.2588331963846,4274,10106,0.510104098765432,-78.877008,43.147025
"1527",1527,"Niagara University","NY","Niagara University",1,"www.niagara.edu",3,2,3130,0.6586,1040,23,29060,29060,0.6409,-79.037737,43.138222
"1528",1528,"Saranac Lake","NY","North Country Community College",1,"www.nccc.edu",2,1,1042,1,1061.44920634921,23.2588331963846,4900,10750,0.510104098765432,-74.119981,44.318645
"1529",1529,"Old Westbury","NY","New York Institute of Technology",1,"www.nyit.edu",3,2,4160,0.6403,1069,24,32180,32180,0.4475,-73.608885,40.814402
"1530",1530,"New York","NY","New York School of Interior Design",1,"www.nysid.edu",2,2,353,0.4551,940,23.2588331963846,26540,26540,0.6667,-73.962404,40.768615
"1531",1531,"Nyack","NY","Nyack College",1,"www.nyack.edu",3,2,1695,0.9936,909,23,23800,23800,0.419,-73.931106,41.086425
"1532",1532,"Peekskill","NY","Ohr Hameir Theological Seminary",1,"NULL",3,2,96,1,1061.44920634921,23.2588331963846,9500,9500,0.0909,-73.889793,41.268725
"1533",1533,"Syracuse","NY","Onondaga Community College",1,"www.sunyocc.edu",2,1,8390,1,1061.44920634921,23.2588331963846,4884,9184,0.510104098765432,-76.196454,43.007418
"1534",1534,"Middletown","NY","Orange County Community College",1,"www.sunyorange.edu/",2,1,5413,1,1061.44920634921,23.2588331963846,5002,9402,0.510104098765432,-74.426885,41.439476
"1535",1535,"New York","NY","Pace University-New York",1,"www.pace.edu",3,2,8163,0.8499,1054,23,39697,39697,0.5489,-74.004719,40.711014
"1536",1536,"Paul Smiths","NY","Paul Smiths College of Arts and Science",1,"www.paulsmiths.edu",3,2,891,0.9843,1061.44920634921,23.2588331963846,26146,26146,0.4551,-74.245143,44.435638
"1537",1537,"Forest Hills","NY","Plaza College",1,"WWW.PLAZACOLLEGE.EDU",2,3,716,0.3019,1061.44920634921,23.2588331963846,11350,11350,0.6589,-73.831723,40.71503
"1538",1538,"Johnson City","NY","Davis College",1,"www.davisny.edu/",3,2,252,0.4779,954,20,12640,12640,0.3269,-75.962421,42.101092
"1539",1539,"Brooklyn","NY","Pratt Institute-Main",1,"www.pratt.edu",3,2,3232,0.5299,1141,26,44804,44804,0.6369,-73.962149,40.691154
"1540",1540,"Brooklyn","NY","Rabbinical Academy Mesivta Rabbi Chaim Berlin",1,"NULL",3,2,155,1,1061.44920634921,23.2588331963846,12250,12250,0.4762,-73.963702,40.618467
"1541",1541,"Brooklyn","NY","Rabbinical College Bobover Yeshiva Bnei Zion",1,"rabbinicalcollegeboboveryeshiva.edu",3,2,273,1,1061.44920634921,23.2588331963846,7750,7750,0.8333,-73.98544,40.63192
"1542",1542,"Brooklyn","NY","Rabbinical College of Ch'san Sofer New York",1,"NULL",3,2,34,0.7059,1061.44920634921,23.2588331963846,8000,8000,0.8,-73.979851,40.626507
"1543",1543,"Monsey","NY","Rabbinical College Beth Shraga",1,"NULL",3,2,41,1,1061.44920634921,23.2588331963846,11550,11550,0,-74.072771,41.114311
"1544",1544,"Long Beach","NY","Rabbinical College of Long Island",1,"NULL",3,2,115,1,1061.44920634921,23.2588331963846,8800,8800,0.125,-73.670034,40.586478
"1545",1545,"Flushing","NY","Rabbinical Seminary of America",1,"NULL",3,2,282,0.95,1061.44920634921,23.2588331963846,8800,8800,0.4457,-73.81769,40.72325
"1546",1546,"Troy","NY","Rensselaer Polytechnic Institute",1,"www.rpi.edu",3,2,5557,0.375,1372,30,47908,47908,0.8214,-73.678768,42.728983
